# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1416018800;0.00;0.00
axle;60;1416018860;0.00;0.00
axle;60;1416018920;0.00;0.00
axle;60;1416018980;0.00;0.00
axle;60;1416019040;0.00;0.00
axle;60;1416019100;0.00;0.00
axle;60;1416019160;0.00;0.00
axle;60;1416019220;0.00;0.00
axle;60;1416019280;0.00;0.00
axle;60;1416019340;0.00;0.00
axle;60;1416019400;0.00;0.00
axle;60;1416019460;0.00;0.00
axle;60;1416019520;0.00;0.00
axle;60;1416019580;0.00;0.00
axle;60;1416019640;0.00;0.00
axle;60;1416019700;0.00;0.00
axle;60;1416019760;0.00;0.00
axle;60;1416019820;0.00;0.00
axle;60;1416019880;0.00;0.00
axle;60;1416019940;0.00;0.00
axle;60;1416020000;0.00;0.00
axle;60;1416020060;0.00;0.00
axle;60;1416020120;0.00;0.00
axle;60;1416020180;0.00;0.00
axle;60;1416020240;0.00;0.00
axle;60;1416020300;0.00;0.00
axle;60;1416020360;0.00;0.00
axle;60;1416020420;0.00;0.00
axle;60;1416020480;0.00;0.00
axle;60;1416020540;0.00;0.00
axle;60;1416020600;0.00;0.00
axle;60;1416020660;0.00;0.00
axle;60;1416020720;0.00;0.00
axle;60;1416020780;0.00;0.00
axle;60;1416020840;0.00;0.00
axle;60;1416020900;0.00;0.00
axle;60;1416020960;0.00;0.00
axle;60;1416021020;0.00;0.00
axle;60;1416021080;0.00;0.00
axle;60;1416021140;0.00;0.00
axle;60;1416021200;0.00;0.00
axle;60;1416021260;0.00;0.00
axle;60;1416021320;0.00;0.00
axle;60;1416021380;0.00;0.00
axle;60;1416021440;0.00;0.00
axle;60;1416021500;0.00;0.00
axle;60;1416021560;0.00;0.00
axle;60;1416021620;0.00;0.00
axle;60;1416021680;0.00;0.00
axle;60;1416021740;0.00;0.00
axle;60;1416021800;0.00;0.00
axle;60;1416021860;0.00;0.00
axle;60;1416021920;0.00;0.00
axle;60;1416021980;0.00;0.00
axle;60;1416022040;0.00;0.00
axle;60;1416022100;0.00;0.00
axle;60;1416022160;0.00;0.00
axle;60;1416022220;0.00;0.00
axle;60;1416022280;0.00;0.00
axle;60;1416022340;0.00;0.00
axle;60;1416022400;0.00;0.00
axle;60;1416022460;0.00;0.00
axle;60;1416022520;0.00;0.00
axle;60;1416022580;0.00;0.00
axle;60;1416022640;0.00;0.00
axle;60;1416022700;0.00;0.00
axle;60;1416022760;0.00;0.00
axle;60;1416022820;0.00;0.00
axle;60;1416022880;0.00;0.00
axle;60;1416022940;0.00;0.00
axle;60;1416023000;0.00;0.00
axle;60;1416023060;0.00;0.00
axle;60;1416023120;0.00;0.00
axle;60;1416023180;0.00;0.00
axle;60;1416023240;0.00;0.00
axle;60;1416023300;0.00;0.00
axle;60;1416023360;0.00;0.00
axle;60;1416023420;0.00;0.00
axle;60;1416023480;0.00;0.00
axle;60;1416023540;0.00;0.00
axle;60;1416023600;0.00;0.00
axle;60;1416023660;0.00;0.00
axle;60;1416023720;0.00;0.00
axle;60;1416023780;0.00;0.00
axle;60;1416023840;0.00;0.00
axle;60;1416023900;0.00;0.00
axle;60;1416023960;0.00;0.00
axle;60;1416024020;0.00;0.00
axle;60;1416024080;0.00;0.00
axle;60;1416024140;0.00;0.00
axle;60;1416024200;0.00;0.00
axle;60;1416024260;0.00;0.00
axle;60;1416024320;0.00;0.00
axle;60;1416024380;0.00;0.00
axle;60;1416024440;0.00;0.00
axle;60;1416024500;0.00;0.00
axle;60;1416024560;0.00;0.00
axle;60;1416024620;0.00;0.00
axle;60;1416024680;0.00;0.00
axle;60;1416024740;0.00;0.00
axle;60;1416024800;0.00;0.00
axle;60;1416024860;0.00;0.00
axle;60;1416024920;0.00;0.00
axle;60;1416024980;0.00;0.00
axle;60;1416025040;0.00;0.00
axle;60;1416025100;0.00;0.00
axle;60;1416025160;0.00;0.00
axle;60;1416025220;0.00;0.00
axle;60;1416025280;0.00;0.00
axle;60;1416025340;0.00;0.00
axle;60;1416025400;0.00;0.00
axle;60;1416025460;0.00;0.00
axle;60;1416025520;0.00;0.00
axle;60;1416025580;0.00;0.00
axle;60;1416025640;0.00;0.00
axle;60;1416025700;0.00;0.00
axle;60;1416025760;0.00;0.00
axle;60;1416025820;0.00;0.00
axle;60;1416025880;0.00;0.00
axle;60;1416025940;0.00;0.00
axle;60;1416026000;0.00;0.00
axle;60;1416026060;0.00;0.00
axle;60;1416026120;0.00;0.00
axle;60;1416026180;0.00;0.00
axle;60;1416026240;0.00;0.00
axle;60;1416026300;0.00;0.00
axle;60;1416026360;0.00;0.00
axle;60;1416026420;0.00;0.00
axle;60;1416026480;0.00;0.00
axle;60;1416026540;0.00;0.00
axle;60;1416026600;0.00;0.00
axle;60;1416026660;0.00;0.00
axle;60;1416026720;0.00;0.00
axle;60;1416026780;0.00;0.00
axle;60;1416026840;0.00;0.00
