# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416018800;-4249.22;0.18;2.27
axle;60;1416018860;-892.62;0.18;0.65
axle;60;1416018920;-1061.47;0.07;0.28
axle;60;1416018980;3.30;0.05;0.35
axle;60;1416019040;2.28;0.07;0.32
axle;60;1416019100;-4.75;0.05;0.32
axle;60;1416019160;2.62;0.12;0.32
axle;60;1416019220;-0.48;0.03;0.33
axle;60;1416019280;0.17;0.08;0.33
axle;60;1416019340;1799.03;0.10;0.88
axle;60;1416019400;-67.37;0.05;0.40
axle;60;1416019460;-160.77;0.10;0.32
axle;60;1416019520;-280.68;0.08;0.40
axle;60;1416019580;-106.03;0.05;0.32
axle;60;1416019640;-107.83;0.10;0.32
axle;60;1416019700;1.30;0.08;0.35
axle;60;1416019760;1.03;0.05;0.30
axle;60;1416019820;-0.08;0.07;0.30
axle;60;1416019880;-0.70;0.05;0.35
axle;60;1416019940;-1.03;0.05;0.32
axle;60;1416020000;1.57;0.05;0.32
axle;60;1416020060;-3.93;0.03;0.30
axle;60;1416020120;-12.33;0.07;0.37
axle;60;1416020180;3.80;0.05;0.32
axle;60;1416020240;0.58;0.02;0.33
axle;60;1416020300;-2.70;0.07;0.32
axle;60;1416020360;785.60;0.03;0.35
axle;60;1416020420;-15.75;0.05;0.35
axle;60;1416020480;3.72;0.07;0.32
axle;60;1416020540;4.37;0.03;0.32
axle;60;1416020600;3.85;0.08;0.33
axle;60;1416020660;-0.07;0.05;0.32
axle;60;1416020720;-3.60;0.05;0.32
axle;60;1416020780;2.25;0.07;0.37
axle;60;1416020840;-2.18;0.10;0.63
axle;60;1416020900;4.92;0.05;0.38
axle;60;1416020960;-26.77;0.08;0.32
axle;60;1416021020;2.25;0.07;0.33
axle;60;1416021080;-219.77;0.05;95.97
axle;60;1416021140;-54.33;0.03;41.12
axle;60;1416021200;-64.77;0.07;40.98
axle;60;1416021260;-67.08;0.07;40.55
axle;60;1416021320;-64.38;0.08;40.32
axle;60;1416021380;-66.32;0.05;40.25
axle;60;1416021440;-65.48;0.05;40.25
