Linux 3.11.0-17-generic (axle) 	15/11/14 	_x86_64_	(64 CPU)

01:39:50        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:40:50        all      5.36      0.00      0.22      0.14      0.00     94.28
01:41:50        all      5.07      0.00      0.18      0.16      0.00     94.59
01:42:50        all      3.95      0.00      0.16      0.20      0.00     95.69
01:43:50        all      3.35      0.00      0.15      0.24      0.00     96.27
01:44:50        all      1.41      0.00      0.09      0.18      0.00     98.31
01:45:50        all      2.77      0.00      0.18      1.05      0.00     96.00
01:46:50        all      2.90      0.00      0.13      0.58      0.00     96.38
01:47:50        all      2.95      0.00      0.14      1.36      0.00     95.55
01:48:50        all      3.24      0.00      0.15      0.61      0.00     96.01
01:49:50        all      2.79      0.00      0.10      0.31      0.00     96.80
01:50:50        all      2.42      0.00      0.19      0.24      0.00     97.15
01:51:50        all      2.10      0.00      0.09      0.05      0.00     97.76
