# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416015650;sdb;700.45;15247.87;273579.60;412.35;0.48;0.68;0.15;10.23
axle;60;1416015650;sda;1.77;0.00;39.20;22.19;0.00;0.00;0.00;0.00
axle;60;1416015710;sdb;649.38;13155.73;274045.47;442.27;0.55;0.85;0.16;10.45
axle;60;1416015710;sda;0.80;0.00;11.47;14.33;0.00;0.00;0.00;0.00
axle;60;1416015770;sdb;615.48;20287.73;253303.87;444.52;0.52;0.85;0.21;13.22
axle;60;1416015770;sda;0.82;0.00;11.60;14.20;0.00;0.08;0.08;0.01
axle;60;1416015830;sdb;557.65;46351.33;196830.80;436.08;0.59;1.05;0.28;15.45
axle;60;1416015830;sda;0.82;0.00;11.60;14.20;0.00;0.00;0.00;0.00
axle;60;1416015890;sdb;298.47;54077.47;73066.67;425.99;0.37;1.24;0.39;11.61
axle;60;1416015890;sda;0.83;0.00;11.47;13.76;0.00;0.16;0.16;0.01
axle;60;1416015950;sdb;1534.55;85500.00;170477.33;166.81;0.94;0.62;0.43;65.68
axle;60;1416015950;sda;1.15;0.00;19.33;16.81;0.00;0.06;0.06;0.01
axle;60;1416016010;sdb;967.77;51221.20;147486.27;205.33;0.62;0.64;0.39;37.64
axle;60;1416016010;sda;1.02;0.00;14.13;13.90;0.00;0.26;0.26;0.03
axle;60;1416016070;sdb;1729.33;62894.27;157421.33;127.40;1.18;0.68;0.45;76.99
axle;60;1416016070;sda;0.73;0.00;10.93;14.91;0.00;0.09;0.09;0.01
axle;60;1416016130;sdb;1031.30;51088.67;198375.87;241.89;0.70;0.68;0.37;37.73
axle;60;1416016130;sda;0.85;0.00;12.13;14.27;0.00;0.00;0.00;0.00
axle;60;1416016190;sdb;612.77;21824.67;181357.73;331.58;0.47;0.76;0.33;20.47
axle;60;1416016190;sda;0.80;0.00;11.87;14.83;0.00;0.00;0.00;0.00
axle;60;1416016250;sdb;677.12;105236.80;159792.93;391.41;0.54;0.80;0.27;18.20
axle;60;1416016250;sda;1.15;0.00;18.13;15.77;0.00;0.00;0.00;0.00
axle;60;1416016310;sdb;325.13;4198.80;144235.73;456.53;0.19;0.60;0.11;3.71
axle;60;1416016310;sda;0.73;0.00;10.93;14.91;0.00;0.00;0.00;0.00
