# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1416015650;108578328;155541228;58.89;569144;126901492;2127820;0.78;98871988;29884376
axle;60;1416015710;108585912;155533644;58.89;569212;126901660;2110608;0.77;98875196;29884400
axle;60;1416015770;108589084;155530472;58.89;569308;126901912;2110608;0.77;98876092;29884428
axle;60;1416015830;108578540;155541016;58.89;569384;126901924;2093696;0.76;98886164;29884560
axle;60;1416015890;108581656;155537900;58.89;569424;126906656;2093696;0.76;98879292;29889428
axle;60;1416015950;108574744;155544812;58.89;569488;126902448;2093696;0.76;98888016;29884576
axle;60;1416016010;108583644;155535912;58.89;569556;126902848;2093696;0.76;98878764;29884832
axle;60;1416016070;108578628;155540928;58.89;569620;126902488;2093696;0.76;98886236;29884596
axle;60;1416016130;108590308;155529248;58.89;569688;126902944;2093696;0.76;98874856;29884648
axle;60;1416016190;108590484;155529072;58.89;569748;126903136;2093696;0.76;98873536;29884676
axle;60;1416016250;108589260;155530296;58.89;569800;126903548;2093696;0.76;98873848;29884944
axle;60;1416016310;108597616;155521940;58.88;569852;126903468;2093696;0.76;98869680;29884692
